time,axis_x,axis_y,axis_z
3.50999992,0.938460094,3.67436717e-09,-0.345387684
3.51999992,0.938110077,3.67941895e-09,-0.34633724
3.52999992,0.937759099,3.68437784e-09,-0.347286441
3.53999992,0.937407161,3.68924487e-09,-0.348235285
3.54999992,0.937054264,3.69402102e-09,-0.349183772
3.55999992,0.936700407,3.69870724e-09,-0.350131901
3.56999992,0.936345591,3.70330446e-09,-0.35107967
3.57999992,0.935989816,3.70781359e-09,-0.352027079
3.58999992,0.935633083,3.71223551e-09,-0.352974127
3.59999992,0.935275392,3.71657107e-09,-0.353920813
3.60999992,0.934916743,3.7208211e-09,-0.354867135
3.61999992,0.934557137,3.72498641e-09,-0.355813093
3.62999992,0.934196575,3.7290678e-09,-0.356758686
3.63999992,0.933835055,3.73306604e-09,-0.357703913
3.64999992,0.93347258,3.73698187e-09,-0.358648773
3.65999992,0.933109149,3.74081603e-09,-0.359593264
3.66999992,0.932744763,3.74456924e-09,-0.360537387
3.67999992,0.932379422,3.74824219e-09,-0.361481139
3.68999992,0.932013126,3.75183558e-09,-0.362424521
3.69999992,0.931645876,3.75535006e-09,-0.363367531
3.70999992,0.931277672,3.75878629e-09,-0.364310167
3.71999992,0.930908515,3.76214491e-09,-0.36525243
3.72999992,0.930538404,3.76542655e-09,-0.366194318
3.73999992,0.930167341,3.76863181e-09,-0.36713583
3.74999992,0.929795326,3.7717613e-09,-0.368076965
3.75999992,0.929422358,3.77481561e-09,-0.369017723
3.76999992,0.92904844,3.77779531e-09,-0.369958102
3.77999992,0.92867357,3.78070097e-09,-0.370898101
3.78999992,0.928297749,3.78353314e-09,-0.371837719
3.79999992,0.927920978,3.78629237e-09,-0.372776956
3.80999991,0.927543257,3.78897919e-09,-0.373715811
3.81999991,0.927164586,3.79159413e-09,-0.374654282
3.82999991,0.926784966,3.7941377e-09,-0.375592368
3.83999991,0.926404397,3.7966104e-09,-0.376530069
3.84999991,0.92602288,3.79901275e-09,-0.377467383
3.85999991,0.925640415,3.80134523e-09,-0.37840431
3.86999991,0.925257002,3.80360832e-09,-0.379340849
3.87999991,0.924872642,3.80580249e-09,-0.380276999
3.88999991,0.924487335,3.80792822e-09,-0.381212758
3.89999991,0.924101082,3.80998596e-09,-0.382148126
3.90999991,0.923713882,3.81197617e-09,-0.383083102
3.91999991,0.923325737,3.81389929e-09,-0.384017685
3.92999991,0.922936647,3.81575577e-09,-0.384951874
3.93999991,0.922546612,3.81754604e-09,-0.385885668
3.94999991,0.922155632,3.81927053e-09,-0.386819066
3.95999991,0.921763709,3.82092965e-09,-0.387752067
3.96999991,0.921370841,3.82252384e-09,-0.38868467
3.97999991,0.920977031,3.8240535e-09,-0.389616874
3.98999991,0.920582277,3.82551903e-09,-0.390548679
3.99999991,0.920186582,3.82692084e-09,-0.391480083
4.00999991,0.919789944,3.82825933e-09,-0.392411085
4.01999991,0.919392364,3.82953489e-09,-0.393341684
4.02999991,0.918993844,3.83074789e-09,-0.39427188
4.03999991,0.918594382,3.83189874e-09,-0.395201672
4.04999991,0.91819398,3.8329878e-09,-0.396131058
4.05999991,0.917792638,3.83401545e-09,-0.397060037
4.06999991,0.917390357,3.83498207e-09,-0.397988609
4.07999991,0.916987136,3.83588801e-09,-0.398916773
4.08999991,0.916582977,3.83673364e-09,-0.399844528
4.09999991,0.916177879,3.83751932e-09,-0.400771873
4.10999991,0.915771844,3.8382454e-09,-0.401698806
4.11999991,0.91536487,3.83891224e-09,-0.402625327
4.12999991,0.91495696,3.83952018e-09,-0.403551435
4.13999991,0.914548113,3.84006958e-09,-0.40447713
4.14999991,0.91413833,3.84056076e-09,-0.405402409
4.15999991,0.913727611,3.84099408e-09,-0.406327272
4.16999991,0.913315957,3.84136986e-09,-0.407251719
4.17999991,0.912903368,3.84168845e-09,-0.408175748
4.18999991,0.912489844,3.84195016e-09,-0.409099358
4.19999991,0.912075386,3.84215533e-09,-0.410022549
4.20999991,0.911659994,3.84230428e-09,-0.410945319
4.21999991,0.911243669,3.84239734e-09,-0.411867667
4.22999991,0.910826411,3.84243481e-09,-0.412789593
4.23999991,0.910408221,3.84241703e-09,-0.413711096
4.24999991,0.909989099,3.8423443e-09,-0.414632174
4.2599999,0.909569045,3.84221693e-09,-0.415552827
4.2699999,0.90914806,3.84203524e-09,-0.416473054
4.2799999,0.908726145,3.84179953e-09,-0.417392853
4.2899999,0.908303299,3.8415101e-09,-0.418312225
4.2999999,0.907879523,3.84116727e-09,-0.419231168
4.3099999,0.907454818,3.84077132e-09,-0.42014968
4.3199999,0.907029184,3.84032256e-09,-0.421067762
4.3299999,0.906602621,3.83982129e-09,-0.421985412
4.3399999,0.90617513,3.8392678e-09,-0.422902629
4.3499999,0.905746712,3.83866237e-09,-0.423819412
4.3599999,0.905317366,3.83800531e-09,-0.424735761
4.3699999,0.904887094,3.83729689e-09,-0.425651674
4.3799999,0.904455895,3.83653742e-09,-0.426567151
4.3899999,0.90402377,3.83572716e-09,-0.42748219
4.3999999,0.90359072,3.83486641e-09,-0.428396791
4.4099999,0.903156745,3.83395544e-09,-0.429310952
4.4199999,0.902721845,3.83299454e-09,-0.430224674
4.4299999,0.902286022,3.83198398e-09,-0.431137954
4.4399999,0.901849274,3.83092404e-09,-0.432050792
4.4499999,0.901411603,3.829815e-09,-0.432963187
4.4599999,0.90097301,3.82865711e-09,-0.433875138
