time,axis_x,axis_y,axis_z
49.5699989,-0.89576794,-7.75798369e-09,0.444521988
49.5799989,-0.895487189,-7.76340833e-09,0.445087289
49.5899989,-0.895205725,-7.76730222e-09,0.445653126
49.5999989,-0.894923664,-7.77119542e-09,0.446219268
49.6099989,-0.894641059,-7.77555043e-09,0.446785605
49.6199989,-0.894357893,-7.77992983e-09,0.447352165
49.6299989,-0.894074089,-7.78406476e-09,0.447919103
49.6399989,-0.89378963,-7.78774364e-09,0.448486452
49.6499989,-0.893504533,-7.78999111e-09,0.449054173
49.6599989,-0.893218756,-7.78978575e-09,0.449622345
49.6699989,-0.892932342,-7.78763256e-09,0.450190886
49.6799989,-0.892645295,-7.78277478e-09,0.450759778
49.6899989,-0.892357606,-7.77661919e-09,0.451329042
49.6999989,-0.892069182,-7.76974613e-09,0.451898854
49.7099989,-0.891780106,-7.76264497e-09,0.452469051
49.7199989,-0.891490375,-7.7554469e-09,0.453039636
49.7299989,-0.891200003,-7.74864176e-09,0.453610576
49.7399989,-0.890909034,-7.74289706e-09,0.454181783
49.7499989,-0.890617382,-7.73872722e-09,0.454753426
49.7599989,-0.890324974,-7.735147e-09,0.455325642
49.7699989,-0.890031926,-7.73148906e-09,0.455898203
49.7799989,-0.889738315,-7.7281364e-09,0.456470954
49.7899989,-0.889444109,-7.7260459e-09,0.457043956
49.7999989,-0.889149193,-7.7248109e-09,0.457617431
49.8099989,-0.888853587,-7.72270111e-09,0.458191337
49.8199989,-0.88855736,-7.7196209e-09,0.458765537
49.8299989,-0.888260521,-7.71571576e-09,0.459340011
49.8399989,-0.887963102,-7.71203103e-09,0.459914698
49.8499989,-0.887665092,-7.70837758e-09,0.460489614
49.8599989,-0.887366431,-7.70167705e-09,0.461064872
49.8699989,-0.887066923,-7.69011616e-09,0.46164085
49.8799989,-0.886766478,-7.6754967e-09,0.462217711
49.8899989,-0.886465247,-7.65999122e-09,0.462795167
49.8999989,-0.886163345,-7.64234394e-09,0.463372987
49.9099989,-0.885860783,-7.62105816e-09,0.463951153
49.9199989,-0.885557622,-7.59851341e-09,0.464529545
49.9299989,-0.885253902,-7.57558968e-09,0.465108083
49.9399989,-0.8849496,-7.5522411e-09,0.465686811
49.9499989,-0.884644661,-7.52863819e-09,0.46626583
49.9599989,-0.884339144,-7.50491908e-09,0.466845026
49.9699989,-0.884032997,-7.48292395e-09,0.467424498
49.9799989,-0.883726074,-7.4649157e-09,0.468004515
49.9899989,-0.883418517,-7.44726667e-09,0.468584809
49.9999989,-0.883110434,-7.42798277e-09,0.469165176
50.0099989,-0.882801783,-7.40723105e-09,0.469745689
50.0199989,-0.88249252,-7.38610399e-09,0.470326431
50.02,-0.882693177,-7.39478399e-09,0.469949738
50.03,-0.882502278,-7.38539598e-09,0.470308122
50.04,-0.882288264,-7.39052918e-09,0.470709485
50.05,-0.882069682,-7.39375619e-09,0.471118962
50.06,-0.881844453,-7.41360323e-09,0.471540413
50.07,-0.881609752,-7.42700513e-09,0.471979073
50.08,-0.881365864,-7.43122334e-09,0.472434348
50.09,-0.881114196,-7.43382934e-09,0.472903556
50.1,-0.880855937,-7.43863392e-09,0.473384429
50.11,-0.880591868,-7.44543466e-09,0.47387547
50.12,-0.880322534,-7.45332321e-09,0.474375628
50.13,-0.88004844,-7.46219947e-09,0.474883925
50.14,-0.879770085,-7.47193013e-09,0.475399409
50.15,-0.879487836,-7.48204932e-09,0.475921366
50.16,-0.879202116,-7.49286903e-09,0.476448989
50.17,-0.878913206,-7.50357611e-09,0.476981735
50.18,-0.878621287,-7.51240753e-09,0.47751925
50.19,-0.878326616,-7.51939181e-09,0.478061037
50.2,-0.878029341,-7.5234127e-09,0.478606808
50.21,-0.877729762,-7.52326592e-09,0.479155992
50.22,-0.877428097,-7.52050898e-09,0.479708176
50.23,-0.877124397,-7.51508816e-09,0.480263252
50.24,-0.876818663,-7.50737274e-09,0.480821207
50.25,-0.876510953,-7.49503612e-09,0.481381915
50.26,-0.876201506,-7.48087247e-09,0.481944935
50.27,-0.87589045,-7.46574339e-09,0.48251002
50.28,-0.875577976,-7.45154835e-09,0.483076814
50.29,-0.875264129,-7.43792918e-09,0.483645227
50.3,-0.874948863,-7.42406769e-09,0.484215332
50.31,-0.874632264,-7.40984387e-09,0.484786966
50.32,-0.874314349,-7.39533884e-09,0.485360093
50.33,-0.873995004,-7.3815743e-09,0.485934905
50.34,-0.873673917,-7.36748181e-09,0.48651196
50.35,-0.873351208,-7.35106501e-09,0.487091026
50.36,-0.873027077,-7.33311919e-09,0.487671738
50.37,-0.872701717,-7.31737635e-09,0.488253739
50.38,-0.87237526,-7.3046328e-09,0.488836788
