time,T_dna,T_res
251.825000,-1.51041675e+02,-1.19625984e+02
251.830000,-1.51023676e+02,-1.19607985e+02
251.835000,-1.51005706e+02,-1.19590016e+02
251.840000,-1.50987742e+02,-1.19572052e+02
251.845000,-1.50969757e+02,-1.19554068e+02
251.850000,-1.50951786e+02,-1.19536097e+02
251.855000,-1.50933879e+02,-1.19518190e+02
251.860000,-1.50916056e+02,-1.19500366e+02
251.865000,-1.50898298e+02,-1.19482608e+02
251.870000,-1.50880612e+02,-1.19464923e+02
251.875000,-1.50863009e+02,-1.19447318e+02
251.880000,-1.50845468e+02,-1.19429778e+02
251.885000,-1.50827986e+02,-1.19412296e+02
251.890000,-1.50810558e+02,-1.19394867e+02
251.895000,-1.50793168e+02,-1.19377479e+02
251.900000,-1.50775811e+02,-1.19360122e+02
251.905000,-1.50758475e+02,-1.19342786e+02
251.910000,-1.50741171e+02,-1.19325483e+02
251.915000,-1.50723916e+02,-1.19308231e+02
251.920000,-1.50706759e+02,-1.19291072e+02
251.925000,-1.50689710e+02,-1.19274025e+02
251.930000,-1.50672722e+02,-1.19257036e+02
251.935000,-1.50655752e+02,-1.19240066e+02
251.940000,-1.50638811e+02,-1.19223124e+02
251.945000,-1.50622079e+02,-1.19206392e+02
251.950000,-1.50605593e+02,-1.19189906e+02
251.955000,-1.50589240e+02,-1.19173553e+02
251.960000,-1.50573005e+02,-1.19157319e+02
251.965000,-1.50556866e+02,-1.19141180e+02
251.970000,-1.50540770e+02,-1.19125084e+02
251.975000,-1.50524716e+02,-1.19109032e+02
251.980000,-1.50508778e+02,-1.19093091e+02
251.985000,-1.50492956e+02,-1.19077272e+02
251.990000,-1.50477247e+02,-1.19061560e+02
251.995000,-1.50461622e+02,-1.19045936e+02
252.000000,-1.50446044e+02,-1.19030358e+02
252.005000,-1.50430520e+02,-1.19014833e+02
252.010000,-1.50415034e+02,-1.18999347e+02
252.015000,-1.50399564e+02,-1.18983877e+02
252.020000,-1.50384097e+02,-1.18968411e+02
252.025000,-1.50368644e+02,-1.18952958e+02
