time,u,gap
3.396000,-2.666951e-02,8.00389000e-03
3.397000,-2.663777e-02,7.97725000e-03
3.398000,-2.660345e-02,7.95065000e-03
3.399000,-2.656810e-02,7.92408000e-03
3.400000,-2.653311e-02,7.89755000e-03
3.401000,-2.649548e-02,7.87105000e-03
3.402000,-2.645634e-02,7.84460000e-03
3.403000,-2.641279e-02,7.81818000e-03
3.404000,-2.636598e-02,7.79182000e-03
3.405000,-2.632628e-02,7.76549000e-03
3.406000,-2.628941e-02,7.73920000e-03
3.407000,-2.625122e-02,7.71295000e-03
3.408000,-2.620786e-02,7.68674000e-03
3.409000,-2.616621e-02,7.66058000e-03
3.410000,-2.613276e-02,7.63444000e-03
3.411000,-2.610615e-02,7.60834000e-03
3.412000,-2.607366e-02,7.58226000e-03
3.413000,-2.604330e-02,7.55622000e-03
3.414000,-2.600964e-02,7.53021000e-03
3.415000,-2.597485e-02,7.50424000e-03
3.416000,-2.594311e-02,7.47829000e-03
3.417000,-2.591211e-02,7.45238000e-03
3.418000,-2.587700e-02,7.42650000e-03
3.419000,-2.584229e-02,7.40066000e-03
3.420000,-2.580360e-02,7.37486000e-03
3.421000,-2.576449e-02,7.34909000e-03
3.422000,-2.572269e-02,7.32337000e-03
3.423000,-2.567816e-02,7.29769000e-03
3.424000,-2.563470e-02,7.27206000e-03
3.425000,-2.558467e-02,7.24647000e-03
3.426000,-2.554200e-02,7.22093000e-03
3.427000,-2.550536e-02,7.19543000e-03
3.428000,-2.546790e-02,7.16996000e-03
3.429000,-2.542137e-02,7.14454000e-03
3.430000,-2.537476e-02,7.11916000e-03
3.431000,-2.533682e-02,7.09382000e-03
3.432000,-2.530682e-02,7.06852000e-03
3.433000,-2.527557e-02,7.04324000e-03
3.434000,-2.524027e-02,7.01800000e-03
3.435000,-2.520644e-02,6.99280000e-03
3.436000,-2.516949e-02,6.96763000e-03
3.437000,-2.513605e-02,6.94249000e-03
3.438000,-2.510211e-02,6.91739000e-03
3.439000,-2.506504e-02,6.89232000e-03
3.440000,-2.502458e-02,6.86730000e-03
3.441000,-2.498737e-02,6.84231000e-03
3.442000,-2.494888e-02,6.81736000e-03
3.443000,-2.490851e-02,6.79245000e-03
3.444000,-2.486380e-02,6.76759000e-03
3.445000,-2.482039e-02,6.74277000e-03
3.446000,-2.477526e-02,6.71799000e-03
3.447000,-2.472130e-02,6.69327000e-03
3.448000,-2.467384e-02,6.66860000e-03
3.449000,-2.463338e-02,6.64397000e-03
3.450000,-2.459221e-02,6.61937000e-03
3.451000,-2.454130e-02,6.59483000e-03
3.452000,-2.449164e-02,6.57034000e-03
3.453000,-2.445136e-02,6.54589000e-03
3.454000,-2.441896e-02,6.52147000e-03
3.455000,-2.438013e-02,6.49709000e-03
3.456000,-2.434020e-02,6.47275000e-03
3.457000,-2.430572e-02,6.44844000e-03
